Job Title,Company,Location,Link,num_applicants,description,seniority_level,employment_type,job_function,industries,skills,salaries
Full-Stack Software Engineer – Join Our Remote Talent Community (Not a Current Opening),Securly,United States,https://www.linkedin.com/jobs/view/full-stack-software-engineer-%E2%80%93-join-our-remote-talent-community-not-a-current-opening-at-securly-4220650528?position=5&pageNum=20&refId=Hz9knCUDyH3BYQJLbF1qrg%3D%3D&trackingId=zJ3uC1KQGbURtTOeDTi2ww%3D%3D,Over 200 applicants,"Full-Stack Software Engineer – Join Our Remote Talent Community (Not a Current Opening)
Location:
Remote – United States
Type: Expression of Interest",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",not found,not found
Software Engineer,Salient Group,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-at-salient-group-4218033460?position=9&pageNum=25&refId=ApieJQaVON%2B1HFrvvVNoZA%3D%3D&trackingId=GrUtGmxAE1V3aKlnVOT1hw%3D%3D,Over 200 applicants,"Software Engineer (Founding Team)
New York Based [Hybrid]

Our client is building a new type of digital product and need a Software Engineer to help bring their vision to life. This isn’t your typical dev role, you won’t just be writing code, you’ll be building an entirely new way for people to experience joy, humor, connection, and thoughtful moments in the digital and physical world.",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,not found,not found
Software Engineer - Java,Veeva Consumer Products,United States,https://www.linkedin.com/jobs/view/software-engineer-java-at-veeva-consumer-products-4217370098?position=1&pageNum=30&refId=0Ab%2Bqs%2F7b5ru4UoOwiRz3Q%3D%3D&trackingId=1hCioB0eRWzLqL3rpIAheQ%3D%3D,Over 200 applicants,"Veeva Systems is a mission-driven organization and pioneer in industry cloud, helping life sciences companies bring therapies to patients faster. As one of the fastest-growing SaaS companies in history, we surpassed $2B in revenue in our last fiscal year with extensive growth potential ahead.

At the heart of Veeva are our values: Do the Right Thing, Customer Success, Employee Success, and Speed. We're not just any public company – we made history in 2021 by becoming a public benefit corporation (PBC), legally bound to balancing the interests of customers, employees, society, and investors.

As a Work Anywhere company, we support your flexibility to work from home or in the office, so you can thrive in your ideal environment.

Join us in transforming the life sciences industry, committed to making a positive impact on its customers, employees, and communities.



We are looking for multiple Software Engineers that are eager to build in a fast-paced, startup environment inside a stable, profitable company. Our teams are solving complex problems that impact the speed and effectiveness of how critical treatments and medicines get to the patients who need them. In this role, you’ll jump right in, develop in rapid sprints, and find quickly that we don’t believe in throwaway technology. You build it -- we ship it.

Software Engineers will contribute to the technical design and implementation of product features for various products at Veeva. In this role, you will work with a smart, highly motivated team to take on technical challenges that are associated with our ever-growing number of customers. You should be a self-starter, who loves technical challenges and has prior experience working on a variety of engineering projects in an energizing environment.

Ideal candidates have worked in enterprise software development or for a high-growth technology company.

























Veeva’s headquarters is located in the San Francisco Bay Area with offices in more than 15 countries around the world.

Veeva is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances. If you need assistance or accommodation due to a disability or special need when applying for a role or in our recruitment process, please contact us at talent_accommodations@veeva.com.",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,not found,not found
Software Engineer – Join Our Remote Talent Community (Not a Current Opening),Securly,United States,https://www.linkedin.com/jobs/view/software-engineer-%E2%80%93-join-our-remote-talent-community-not-a-current-opening-at-securly-4219327754?position=1&pageNum=35&refId=q5onSEZTnnM2C9w3xfz75g%3D%3D&trackingId=ogNxRie1%2BRlioFRXWIJipw%3D%3D,Over 200 applicants,"Software Engineer – Join Our Remote Talent Community (Not a Current Opening)

Location:
Remote – United States
Type: Expression of Interest",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",not found,not found
Software Engineer,Goliath Partners,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-at-goliath-partners-4219850251?position=10&pageNum=35&refId=q5onSEZTnnM2C9w3xfz75g%3D%3D&trackingId=x3QUqbIMZX1uYoE09d5Fyw%3D%3D,127 applicants,"C++ Software Engineer – HFT

NYC, Miami, Chicago, or SF - Up to $1M+ Total Comp

We’re working with a top high-frequency trading firm that’s hiring experienced across . After a record-breaking year, they’re scaling fast and looking for world-class engineers to join the team.",Mid-Senior level,Full-time,"Engineering, Finance, and Information Technology","Financial Services, Capital Markets, and Software Development",not found,not found
Software Engineer (Remote),Accenture,United States,https://www.linkedin.com/jobs/view/software-engineer-remote-at-accenture-4220913962?position=3&pageNum=40&refId=UaHRckmxgR81FQtAoe0OSA%3D%3D&trackingId=8uipm8OoTh8yXrJqeyF1xg%3D%3D,Over 200 applicants,"ACCENTURE's Flexible Workforce solves clients’ toughest challenges by providing cross-industry expertise, unmatched innovation, World-class tech and talent. We help bring it all together to deliver tangible business outcomes for our clients with contractors and our extended workforce opportunities. Accenture is consistently recognized on FORTUNE’s 100 Best Companies to Work for and Diversity Inc’s Top 50 Companies for Diversity lists. And that's just the beginning. Now is the perfect time for you to consider opportunities through our Flexible Workforce.







We are seeking a new talent to join the Software Engineering team where you will have the opportunity to collaborate with a leading telecommunications company.









Keywords

What We Believe

We have an unwavering commitment to diversity with the aim that every one of our people has a full sense of belonging within our organization. As a business imperative, every person at Accenture has the responsibility to create and sustain an inclusive environment.

Inclusion and diversity are fundamental to our culture and core values. Our rich diversity makes us more innovative and more creative, which helps us better serve our clients and our communities. Read more here

Equal Employment Opportunity Statement

Accenture is an Equal Opportunity Employer. We believe that no one should be discriminated against because of their differences, such as age, disability, ethnicity, gender, gender identity and expression, religion or sexual orientation. Our rich diversity makes us more innovative, more competitive and more creative, which helps us better serve our clients and our communities.

All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.

Accenture is committed to providing veteran employment opportunities to our service men and women.

For details, view a copy of the Accenture Equal Opportunity and Affirmative Action Policy Statement

Requesting An Accommodation for this specific opportunity

Accenture is committed to providing equal employment opportunities for persons with disabilities or religious observances, including reasonable accommodation when needed. If you are going to be placed on an Accenture project and require accommodation to perform the essential functions of the opportunity, you will be asked to participate in our reasonable accommodation process as it relates to the initial interview process and for ongoing support, you will need to consult your supplier as their reasonable accommodation process if an offer is extended. Accommodations made to facilitate the recruiting process are not a guarantee of future or continued accommodations once hired.

If you have accommodation needs for a disability or religious observance, please call us toll free at 1 (877) 889-9009, send us an email or speak with your recruiter.

Other Employment Statements

Applicants for placement consideration in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States.

Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.

Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.

The Company will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. Additionally, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the Company's legal duty to furnish information.",Mid-Senior level,Contract,Engineering and Information Technology,Business Consulting and Services,not found,not found
Software Engineer Intern,Starteryou,United States,https://www.linkedin.com/jobs/view/software-engineer-intern-at-starteryou-4221367747?position=5&pageNum=45&refId=m9RlhZA2xsjaneaANIhvGg%3D%3D&trackingId=fZGZIQHWk6CngumIweDJqA%3D%3D,Over 200 applicants,"About the job
We’re Hiring Tech Interns! Join Our Growing Team at Starteryou!
Are you passionate about tech, innovation, and hands-on learning? Starteryou Inc. is looking for driven, eager-to-learn interns who are ready to dive into real-world projects! If you’re hungry for knowledge and excited to work with cutting-edge technologies, this opportunity is for you! Starteryou is a student engagement and career development platform focused on helping high school and college students prepare for successful career paths.",Internship,Internship,Engineering and Information Technology,"Technology, Information and Internet",not found,not found
React Software Engineer,Planet Technology,United States,https://www.linkedin.com/jobs/view/react-software-engineer-at-planet-technology-4218308538?position=2&pageNum=47&refId=R0QYreBpzV%2FfrX2FP8GVsg%3D%3D&trackingId=ZT%2Bzq2m%2FcaLu7nokHbkZ%2FQ%3D%3D,Over 200 applicants,"NO THIRD PARTIES

**US CITIZENS and GREEN CARD HOLDERS ONLY**

Hours: 40/week - business hours",Mid-Senior level,Contract,Information Technology,Financial Services,not found,not found
Software Engineer - (Remote - US),Jobgether,United States,https://www.linkedin.com/jobs/view/software-engineer-remote-us-at-jobgether-4217583683?position=1&pageNum=50&refId=j39m077bwRY4ffyRyb3rCg%3D%3D&trackingId=rHNs4sOU7amuAY5O7AjZMg%3D%3D,Over 200 applicants,"About Jobgether

Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching.

One of our companies is currently looking for a in .

We are seeking a skilled and detail-oriented Software Engineer to develop scalable systems that support forecasting, data analytics, and automated decision-making processes. In this role, you will build and optimize high-performance backend systems, work closely with research teams to implement predictive models, and ensure data flows seamlessly across internal and external platforms. You will play a crucial role in developing infrastructure that enables data-driven market operations and ensures reliability and speed across systems. This is a remote-friendly role available from anywhere within the U.S.


















This job is posted on behalf of one of our partner companies. If you choose to apply, your application will go through our AI-powered 3-step screening process, where we automatically select the 5 best candidates.

Our AI thoroughly analyzes every line of your CV and LinkedIn profile to assess your fit for the role, evaluating each experience in detail. When needed, our team may also conduct a manual review to ensure only the most relevant candidates are considered.

Our process is fair, unbiased, and based solely on qualifications and relevance to the job. Only the best-matching candidates will be selected for the next round.

If you are among the top 5 candidates, you will be notified within 7 days.

If you do not receive feedback after 7 days, it means you were not selected. However, if you wish, we may consider your profile for other similar opportunities that better match your experience.",Entry level,Full-time,Information Technology,Non-profit Organizations and Primary and Secondary Education,{'Go'},not found
"Software Engineer, Full Stack",Rightway,United States,https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-rightway-4220585494?position=5&pageNum=52&refId=sohLG1KLCAapp6PwJrzCCw%3D%3D&trackingId=SWfODSgb65E1ClAKJd6G1A%3D%3D,Over 200 applicants,"About Rightway Healthcare

Rightway is on a mission to harmonize healthcare by delivering superior care navigation and pharmacy benefits management (PBM). We leverage innovative technology, combining human expertise with cutting-edge tools to simplify the healthcare journey for employers, employees, and their families. By addressing key healthcare challenges, we ensure that our members receive high-quality, cost-effective care.



We’re looking for Full Stack Engineers to join our team at Rightway. You'll work across web and API layers using technologies like React, Node.js, and TypeScript. You'll play a key role in delivering meaningful experiences for our users, collaborating closely with teammates across product and design.













$135,000 - $165,000

Offer amounts for both remote and in office roles are influenced by geographic location.



In response to ongoing and industry-wide fraudulent recruitment activities (i.e., job scams), Rightway wants to inform potential candidates that we will only contact them from the @rightwayhealthcare.com email domain. We will never ask for bank details or deposits of any kind as a condition of employment.



Rightway is on a mission to harmonize healthcare for everyone, everywhere. Our products guide patients to the best care and medications by inserting clinicians and pharmacists into a patient’s care journey through a modern, mobile app. Rightway is a front door to healthcare, giving patients the tools they need along with on-demand access to Rightway health guides, human experts that answer their questions and manage the frustrating parts of healthcare for them.

Since its founding in 2017, Rightway has raised over $205mm from investors including Khosla Ventures, Thrive Capital, and Tiger Global. We’re headquartered in New York City, with a satellite office in Denver. Our clients rely on us to transform the healthcare experience, improve outcomes for their teams, and decrease their healthcare costs.



We’re seeking those with passion for healthcare and relentless devotion to our goal. We need team members that embody our following core values:



Our humanity binds us together. We bring the same empathetic approach to every individual we engage with, whether it be our members, our clients, or each other. We are all worthy of respect and understanding and we engage in our interactions with care and intention. We honor our stories. We listen to—and hear—each other, we celebrate our differences and similarities, we are present for each other, and we strive for mutual understanding.



We always look beyond the obstacles in front of us to imagine new solutions. We approach our work with inspiration from other industries, other leaders, and other challenges. We use ingenuity and resourcefulness when faced with tough problems.



We believe that a spirit of open discourse is part of a healthy culture. We understand and appreciate different perspectives and we challenge our assumptions. When working toward a decision or a new solution, we actively listen to one another, approach it with a “yes, and” mentality, and assume positive intent. Once a decision is made, we align and champion it as one team.



Changing healthcare doesn’t happen overnight. We reflect and learn from challenges and approach the future with a determination to strive for better. In the face of daunting situations, we value persistence. We embrace failure as a stepping stone to future success. On this journey, we seek to act with guts, resilience, initiative, and tenacity.



Healthcare is complicated and personal. We work tirelessly to meet the goals of our clients while also delivering the best experience to our members. We recognize that no matter the role or team, we each play a crucial part in our members’ care and take that responsibility seriously. When faced with an obstacle, we are kind, respectful, and solution-oriented in our approach. We hold ourselves accountable to our clients and our members’ success.

Rightway is Proudly an Equal Opportunity Employer that believes in strength in the diversity of thought processes, beliefs, background and education and fosters an inclusive culture where differences are celebrated to drive the best business decisions possible. We do not discriminate on any basis covered by appropriate law. All employment is decided on the consideration of merit, qualifications, need and performance.",Mid-Senior level,Full-time,Engineering and Information Technology,Hospitals and Health Care,"{'React', 'TypeScript', 'Node.js'}",not found
Software Engineer,Albers Aerospace,"Texas, United States",https://www.linkedin.com/jobs/view/software-engineer-at-albers-aerospace-4220967373?position=8&pageNum=52&refId=sohLG1KLCAapp6PwJrzCCw%3D%3D&trackingId=i5PrR5LkI08%2FSdFBukTi2w%3D%3D,71 applicants,"Albers Aerospace is a professional services company currently working for the U.S. Navy, U.S. Marine Corps, and commercial clients; competing as a Service Disabled Veteran Owned Small Business (SDVOSB) under several NAICS codes. Our core competencies include systems engineering, program management, logistics, production support, aircraft maintenance, and aviation/aerospace services. We were founded in 2015 and since our establishment, we have been attracting the best talent in our fields of interest enabling us to provide cutting-edge solutions and support to our warfighters. We understand and provide expert consultation on weapons systems acquisition programs, maintenance/modernization programs, and sustainment programs. We know defense and we know aircraft systems.

Software Engineer

Albers Innovation

McKinney, Texas

Full time

Hybrid

Exempt

N/A

5 March 2025

Secret Eligible



Albers Aerospace was founded on the principles of Integrity, Commitment, & Excellence “ICE”– principles tested during the founders' time in the military – Albers Aerospace is a coalition of business units and related entities operating with the goal of delivering industry leading products and services while endeavoring to make our employee's lives better.

Growing rapidly (Ranked #1 in the Aggie 100), we have established ourselves as the company to solve problems, be a partner with, and make things happen. We are laser focused on solving problems and doing it in an “out of the box” manner. We love helping our clients and our teammates be all that they were made to be. We are passionate and aggressive about getting things done!



This position will integrate systems, build products, and develop software services as a member of a Software Engineering team. Alongside the other team members, this engineer will implement best practices for projects, provide novel solutions to hard problems, rapidly develop prototypes, and reduce ideas to practice.

This position will initially be part of a team building software for radar systems. This position may also be responsible for supporting other product lines within Albers Innovation, including plugin development for engineering tools, supporting mission thread integration among various platforms, and developing advanced manufacturing systems including robotics and industrial controls.









The duties and responsibilities described on this document are not necessarily a comprehensive list and additional tasks may be assigned to the employee from time to time; and the scope of the job may change as necessitated by business demands.

























Teammates at Albers Aerospace receive a robust benefits package which includes medical, dental and vision plans, matching 401k, 15 days of PTO, 12 holidays, employer paid term life, AD&D, long and short-term disability, and education and certification reimbursement.



The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)

80,000 - 110,000 USD per year(AAHQ-Albers Headquarters)

PI269883009",Entry level,Full-time,Engineering and Information Technology,Defense and Space Manufacturing,not found,401k
Software Engineer,BeaconFire Inc.,"New Jersey, United States",https://www.linkedin.com/jobs/view/software-engineer-at-beaconfire-inc-4217805309?position=2&pageNum=55&refId=cuc3qran%2B1KcO5nUgB7Q9w%3D%3D&trackingId=YBnCTbCIXhb5Xw%2F2bktl3Q%3D%3D,Over 200 applicants,"BeaconFire is based in Central NJ, specializing in Software Development, Web Development, and Business Intelligence; looking for candidates with a strong background in Software
Engineering or Computer Science for a Java / Software Developer position.",Entry level,Full-time,Consulting and Information Technology,IT Services and IT Consulting,{'Java'},not found
Software Engineer III (Fullstack),GoodRx,United States,https://www.linkedin.com/jobs/view/software-engineer-iii-fullstack-at-goodrx-4219579162?position=2&pageNum=57&refId=VvGYe9bXqJU4Bhso5%2BqO8w%3D%3D&trackingId=SctKXFBMAm2%2FuOVsaxfxEA%3D%3D,Over 200 applicants,"GoodRx is the leading prescription savings platform in the U.S. Trusted by more than 25 million consumers and 750,000 healthcare professionals annually, GoodRx provides access to savings and affordability options for generic and brand-name medications at more than 70,000 pharmacies nationwide, as well as comprehensive healthcare research and information. Since 2011, GoodRx has helped consumers save nearly $75 billion on the cost of their prescriptions.

Our goal is to help Americans find convenient and affordable healthcare. We offer solutions for consumers, employers, health plans, and anyone else who shares our desire to provide affordable prescriptions to all Americans.



About the Role

As a Software Engineer, you'll play a pivotal role in shaping the future of healthcare accessibility. Your job will be designing, building, and iterating on customer facing flows. Your contributions will directly impact millions of users by maintaining high-quality, scalable, and innovative solutions. You'll own end-to-end feature development, ensuring that our solutions meet business and user needs.













Engineering teams are responsible for supporting appropriate security controls, including management, operational, and technical controls in addition to general GoodRx best practices, such as reading and adhering to the security policies and procedures, being vigilant and observant of potential security threats, etc.

At GoodRx, pay ranges are determined based on work locations and may vary based on where the successful candidate is hired. The pay ranges below are shown as a guideline, and the successful candidate’s starting pay will be determined based on job-related skills, experience, qualifications, and other relevant business and organizational factors. These pay zones may be modified in the future. Please contact your recruiter for additional information.



$161,000.00 - $257,000.00



$147,000.00 - $235,000.00



$134,000.00 - $214,000.00

Other Office Locations:

$121,000.00 - $193,000.00

GoodRx also offers additional compensation programs such as annual cash bonuses and annual equity grants for most positions as well as generous benefits. Our great benefits offerings include medical, dental, and vision insurance, 401(k) with a company match, an ESPP, unlimited vacation, 13 paid holidays, and 72 hours of sick leave. GoodRx also offers additional benefits like mental wellness and financial wellness programs, fertility benefits, generous parental leave, pet insurance, supplemental life insurance for you and your dependents, company-paid short-term and long-term disability, and more!

We’re committed to growing and empowering a more inclusive community within our company and industry. That’s why we hire and cultivate diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and the tools, resources, and opportunities to excel.

With that said, research shows that women and other underrepresented groups apply only if they meet 100% of the criteria. GoodRx is committed to leveling the playing field, and we encourage women, people of color, those in the LGBTQ+ communities, individuals with disabilities, and Veterans to apply for positions even if they don’t necessarily check every box outlined in the job description. Please still get in touch - we’d love to connect and see if you could be good for the role!

GoodRx is committed to providing reasonable accommodations for candidates with disabilities during our recruiting process. If you need any assistance or accommodations due to a disability, please reach out to us at accommodations@goodrx.com.

We prioritize candidate safety. Please be aware that all official communication will only be sent from or addresses.

GoodRx is America's healthcare marketplace. The company offers the most comprehensive and accurate resource for affordable prescription medications in the U.S., gathering pricing information from thousands of pharmacies coast to coast, as well as a tele-health marketplace for online doctor visits and lab tests. Since 2011, Americans with and without health insurance have saved $60 billion using GoodRx and million consumers visit goodrx.com each month to find discounts and information related to their healthcare. GoodRx is the #1 most downloaded medical app on the iOS and Android app stores. For more information, visit www.goodrx.com.",Mid-Senior level,Full-time,Engineering and Information Technology,Hospitals and Health Care,{'Communication'},not found
"Software Engineer, Full Stack",Cook'd,"New York, United States",https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-cook-d-4220574777?position=2&pageNum=60&refId=T13UNZa8TqEESPOQBVMDOw%3D%3D&trackingId=4x3a5Y4gzY3ybD71qg58JA%3D%3D,Over 200 applicants,"This Isn't a Role at Cook'd — It's a way to apply to all the companies we're partnered with.

We are partnered with a bunch of companies that are searching for AI, Full Stack, and Founding Engineers, and we're looking for candidate that can just ship!",Not Applicable,Full-time,Engineering,"Engineering Services, Software Development, and Technology, Information and Media",not found,not found
Sr. Software Engineer - Backend,Lyra Health,United States,https://www.linkedin.com/jobs/view/sr-software-engineer-backend-at-lyra-health-4221460560?position=1&pageNum=67&refId=eliD4WBv3l%2BLSlrQur3Dvw%3D%3D&trackingId=eSATAZQ3tE0oxY5D2EnFGg%3D%3D,48 applicants,"About Lyra Health

Lyra is transforming mental health care through technology with a human touch to help people feel emotionally healthy at work and at home. We work with industry leaders, such as Morgan Stanley, Uber, Amgen, and other Fortune 500 companies, to improve access to effective, high-quality mental health care for their employees and their families. With our innovative digital care platform and global provider network, nearly 20 million people can receive the best care and feel better, faster. Founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised more than $900 million.



We’re looking for an exceptional Sr. Software Engineer - Backend to join our team. We care deeply about making a difference in people’s lives and hope you do too!

This role can be carried out from our Burlingame, CA headquarters, hybrid, or fully remote/virtually. Remote candidates must be physically located within the United States.















Lyra Health does not use text or chat applications to conduct interviews or make job offers. We have a thoughtful and interactive interview process that primarily includes video-based interviews with our hiring teams. Communications will always be conducted from lyrahealth(dot)com or lyraclinical(dot)com domain names. Please disregard any other communications that do not include these domain names but appear to be from Lyra Recruiting.

""We are an Equal Opportunity Employer. We do not discriminate on the basis of race, color, religion, sex (including pregnancy), national origin, age, disability, genetic information or any other category protected by law.

By applying for this position, you acknowledge that your personal information will be processed as per the Lyra Health Workforce Privacy Notice. Through this application, to the extent permitted by law, we will collect personal information from you including, but not limited to, your name, email address, gender identity, employment information, and phone number for the purposes of recruiting and assessing suitability, aptitude, skills, qualifications, and interests for employment with Lyra. We may also collect information about your race, ethnicity, and sexual orientation, which is considered sensitive personal information under the California Privacy Rights Act (CPRA) and special category data under the UK and EU GDPR. Providing this information is optional and completely voluntary, and if you provide it you consent to Lyra processing it for the purposes as described at the point of collection, for example for diversity and inclusion initiatives. If you are a California resident and would like to limit how we use this information, please use the Limit the Use of My Sensitive Personal Information form. This information will only be retained for as long as needed to fulfill the purposes for which it was collected, as described above. Please note that Lyra does not “sell” or “share” personal information as defined by the CPRA. Outside of the United States, for example in the EU, Switzerland and the UK, you may have the right to request access to, or a copy of, your personal information, including in a portable format; request that we delete your information from our systems; object to or restrict processing of your information; or correct inaccurate or outdated personal information in our systems. These rights may be subject to legal limitations. To exercise your data privacy rights outside of the United States, please contact globaldpo@lyrahealth.com. For more information about how we use and retain your information, please see our Workforce Privacy Notice.""

As a full-time Sr. Software Engineer, you will be employed by Lyra Health, Inc. The anticipated annual base salary range for this full-time position is $142,000 - $196,000. The base range is determined by role and level, and placement within the range will depend on a number of job-related factors, including but not limited to your skills, qualifications, experience and location. This role may also be eligible for discretionary bonuses.



Annual salary is only one part of an employee’s total compensation package at Lyra. We also offer generous benefits that include:



We can’t wait to meet you.",Mid-Senior level,Full-time,Engineering and Information Technology,Mental Health Care,not found,not found
Full Stack Software Engineer/API Developer,Aegon,United States,https://www.linkedin.com/jobs/view/full-stack-software-engineer-api-developer-at-aegon-4219542007?position=4&pageNum=67&refId=eliD4WBv3l%2BLSlrQur3Dvw%3D%3D&trackingId=D7seAJq2WMjmAt6cAqOdBA%3D%3D,Over 200 applicants,"The Specialist Software Engineer is focused on the design and development of web and cloud technologies to support an agile digital business. Helps define web and cloud strategies, grow capabilities, and develops enterprise-wide solutions by providing technology leadership, insight on new developments within the application solution space, and guidance in design, framework, and platform decisions.

Responsibilities:



Qualifications:



Preferred Qualifications:



Working Conditions:



Compensation:

The Salary for this position generally ranges between $145,000 - $160,000 annually. Please note that the salary range is a good faith estimate for this position and actual starting pay is determined by several factors including qualifications, experience, geography, work location designation (in-office, hybrid, remote) and operational needs. Salary may vary above and below the stated amounts, as permitted by applicable law.

Additionally, this position is typically eligible for an Annual Bonus based on the Company Bonus Plan/Individual Performance and is at the Company’s discretion.

This job description is not a contract of employment nor for any specific job responsibilities. The Company may change, add to, remove, or revoke the terms of this job description at its discretion. Managers may assign other duties and responsibilities as needed. In the event an employee or applicant requests or requires an accommodation in order to perform job functions, the applicable HR Business Partner should be contacted to evaluate the accommodation request.

Apply",Mid-Senior level,Full-time,Information Technology and Engineering,Financial Services,"{'Agile', 'Leadership'}",not found
Software Engineer,Cook'd,United States,https://www.linkedin.com/jobs/view/software-engineer-at-cook-d-4220577291?position=1&pageNum=77&refId=TAUGxuDWSsb%2B7rNQ%2F7eRxQ%3D%3D&trackingId=iLeeHcjnbdE5cyl%2BeMQbTA%3D%3D,Over 200 applicants,not found,not found,not found,not found,not found,not found,not found
Software Engineer,Smith Arnold Partners,"Connecticut, United States",https://www.linkedin.com/jobs/view/software-engineer-at-smith-arnold-partners-4217844701?position=3&pageNum=82&refId=p3dl6BFdlf3RvUkGbfYaxQ%3D%3D&trackingId=paMWAyEpMZTN1wq6CRfcwQ%3D%3D,Over 200 applicants,"Software Engineers – Build the Future in a Startup-Like Environment with Stability!

Award winning 65 year old Global, Award Winning, High Tech Engineering company that offers cutting edge technology and a recession proof, extremely stable industry and environment is looking for a Node.js, Typescript, JavaScript Software Engineer who has experience developing in an AWS Lamda Serverless environment.",Mid-Senior level,Full-time,Information Technology and Engineering,"Engineering Services and Technology, Information and Media","{'TypeScript', 'JavaScript', 'Node.js', 'AWS'}",not found
